league,season,team,player,nation,pos,age,mp,starts,minutes,nineties,goals_against,ga_per90,shots_on_target_against,saves,save_pct,clean_sheets,cs_pct,pks_faced,pks_allowed,pen_saves,pks_missed_by_opp,per90_saves,per90_cs
ENG-Premier League,2526,Leeds United,Karl Darlow,WAL,GK,35-231,22,22,1980,22.0,27,1.23,88,63,71.6,5,22.7,2,2,0,0,2.8636363636363638,0.22727272727272727
ENG-Premier League,2526,Leeds United,Lucas Perri,BRA,GK,28-168,16,16,1440,16.0,29,1.81,63,38,60.3,3,18.8,4,4,0,0,2.375,0.1875
ENG-Premier League,2526,Liverpool,Alisson,BRA,GK,33-237,26,26,2340,26.0,31,1.19,86,57,66.3,8,30.8,2,2,0,0,2.1923076923076925,0.3076923076923077
ENG-Premier League,2526,Liverpool,Freddie Woodman,ENG,GK,29-084,3,2,213,2.4,4,1.69,13,9,69.2,0,0.0,0,0,0,0,3.75,0.0
ENG-Premier League,2526,Liverpool,Giorgi Mamardashvili,GEO,GK,25-240,10,10,867,9.6,18,1.87,49,33,65.3,2,20.0,2,1,1,0,3.4375,0.20833333333333334
ENG-Premier League,2526,Manchester City,Gianluigi Donnarumma,ITA,GK,27-091,34,34,3060,34.0,29,0.85,105,75,72.4,15,44.1,1,0,1,0,2.2058823529411766,0.4411764705882353
ENG-Premier League,2526,Manchester City,James Trafford,ENG,GK,23-229,4,4,360,4.0,6,1.5,19,14,73.7,1,25.0,1,1,0,0,3.5,0.25
ENG-Premier League,2526,Manchester Utd,Altay Bayındır,TUR,GK,28-043,6,6,540,6.0,11,1.83,24,13,54.2,0,0.0,0,0,0,0,2.1666666666666665,0.0
ENG-Premier League,2526,Manchester Utd,Senne Lammens,BEL,GK,23-324,32,32,2880,32.0,39,1.22,114,78,69.3,8,25.0,4,4,0,0,2.4375,0.25
ENG-Premier League,2526,Newcastle United,Aaron Ramsdale,ENG,GK,28-013,12,11,1004,11.2,17,1.52,38,24,63.2,1,9.1,3,3,0,0,2.142857142857143,0.08928571428571429
ENG-Premier League,2526,Newcastle United,Nick Pope,ENG,GK,34-038,27,27,2416,26.8,38,1.42,125,89,71.2,7,25.9,2,2,0,0,3.3208955223880596,0.26119402985074625
ENG-Premier League,2526,Nottingham Forest,Angus Gunn,SCO,GK,30-125,1,0,45,0.5,0,0.0,0,0,,0,,0,0,0,0,0.0,0.0
ENG-Premier League,2526,Nottingham Forest,John,BRA,GK,30-103,5,5,437,4.9,8,1.65,13,6,46.2,1,20.0,1,1,0,0,1.2244897959183672,0.2040816326530612
ENG-Premier League,2526,Nottingham Forest,Matz Sels,BEL,GK,34-090,31,30,2668,29.6,39,1.32,127,93,72.4,7,23.3,5,4,1,0,3.1418918918918917,0.23648648648648649
ENG-Premier League,2526,Nottingham Forest,Stefan Ortega,GER,GK,33-202,3,3,270,3.0,4,1.33,12,8,66.7,1,33.3,0,0,0,0,2.6666666666666665,0.3333333333333333
ENG-Premier League,2526,Sunderland,Melker Ellborg,SWE,GK,23-005,3,3,270,3.0,2,0.67,12,10,83.3,1,33.3,0,0,0,0,3.3333333333333335,0.3333333333333333
